TPST1	-273.792746
GATA6	-275.383374
CRIP2	-276.977655
SHROOM3	-278.579244
ZNF589	-280.186472
LGMN	-281.799304
P2RY11	-283.416096
TAGLN	-285.038196
PPDPF	-286.669199
CLK1	-288.305028
MRPS25	-289.944678
KLHL8	-291.597179
PACSIN3	-293.255599
WSB2	-294.923139
DSP	-296.596178
RPLP2	-298.274927
PINK1	-299.958929
PDGFC	-301.651964
SLAIN1	-303.352258
GALNT11	-305.059304
DOCK1	-306.779345
DEPDC5	-308.505527
GPR63	-310.236755
FN1	-311.972752
FBXL2	-313.715049
FAM64A	-315.462607
TNFSF14	-317.217123
CCDC66	-318.975374
CCDC12	-320.744429
MATN2	-322.523404
RILPL2	-324.306623
GLTSCR2	-326.095243
ME2	-327.888578
NAV2	-329.687640
VANGL1	-331.492022
GPRASP2	-333.303111
BCL7A	-335.122601
MED28	-336.949622
TSC22D1	-338.781139
ADM	-340.619996
SOCS1	-342.463911
ZNF462	-344.320989
PAPD4	-346.182402
ZNRD1	-348.050558
EFEMP1	-349.923106
SLC9B2	-351.803926
GAS2L3	-353.689924
PARD3	-355.584682
PTMS	-357.484158
STX11	-359.389710
RAD54L2	-361.299210
ZNF317	-363.217779
R3HDM1	-365.142776
ZNF267	-367.072951
KLF13	-369.008220
C19orf33	-370.947666
EXT2	-372.895926
RFX5	-374.852710
HES4	-376.818227
POLR1D	-378.789388
GTF2IRD1	-380.770842
PXN	-382.758595
MPDZ	-384.755670
RTN4	-386.759637
RBM6	-388.768934
LYRM7	-390.784569
SNAI2	-392.814993
LRP11	-394.851096
RFXAP	-396.895076
DENND4B	-398.947011
HELQ	-401.009655
DENND4A	-403.079704
TRPV2	-405.156358
KDM4C	-407.248785
BATF	-409.350123
SEPSECS	-411.457464
KRI1	-413.568683
SPR	-415.687449
FBXO41	-417.811788
C4orf29	-419.944722
TPD52L1	-422.084843
RASAL2	-424.231299
STK4	-426.389281
CAV1	-428.551297
FNBP1	-430.724902
ZBED4	-432.905425
RBBP6	-435.094802
EVI2A	-437.294937
PRPF38B	-439.501417
S100A6	-441.718716
GGCX	-443.945873
NGLY1	-446.179618
MORF4L2	-448.423496
CD9	-450.673554
TYK2	-452.930873
GNS	-455.197326
TACC2	-457.469763
PLCB2	-459.759467
NCEH1	-462.056463
CBY1	-464.360252
OGT	-466.668954
PROSER1	-468.984048
MCOLN2	-471.306046
TBC1D9	-473.641227
PALLD	-475.983882
TSPAN4	-478.333831
LTBR	-480.693828
ZNF296	-483.058086
GIMAP2	-485.426406
NOP14	-487.807077
ATP8B1	-490.198281
CIITA	-492.596900
FARP1	-495.001995
AHNAK	-497.413569
IRAK4	-499.830045
CEBPD	-502.260241
TMEM17	-504.698275
FRMD6	-507.140949
LSM6	-509.590560
GPRC5A	-512.046350
CXXC1	-514.512634
TCEAL1	-516.985188
C17orf62	-519.466286
RYK	-521.957254
PHLDB2	-524.461125
TUFT1	-526.975044
TAF5	-529.494933
INPP5B	-532.022732
RPL9	-534.555610
RNF11	-537.098296
MLF1	-539.649804
SIX4	-542.209202
GPC1	-544.783285
CALU	-547.365836
C20orf196	-549.957078
MIR17HG	-552.556806
DCP1A	-555.167504
FNBP1L	-557.784058
PPAP2C	-560.410437
PLCL2	-563.065428
PPM1K	-565.730560
NNMT	-568.400261
PIKFYVE	-571.078800
PIK3CD	-573.767018
FES	-576.466432
UACA	-579.175260
TNFRSF1B	-581.891364
KIAA1598	-584.616834
SNRPA1	-587.351317
FCHO2	-590.093816
FSTL1	-592.844917
CD59	-595.605227
NFIB	-598.381125
SDC1	-601.174537
AMOTL2	-603.980010
THAP10	-606.796445
KLF3	-609.622262
MND1	-612.454606
PXK	-615.296395
KIAA1279	-618.153051
DUSP3	-621.019917
DOK2	-623.891377
CHMP3	-626.776956
MET	-629.677129
RBM15	-632.586158
IL12RB1	-635.500338
FAT1	-638.423794
ANLN	-641.357636
ATP1B1	-644.309436
IKZF5	-647.268350
EGFR	-650.234136
SEMA3C	-653.209469
ZC3H12D	-656.193630
PTTG1IP	-659.185655
